ObjectiveValue,TimeSeconds
1897.9750816,13
1592.2043408,13
1577.2191919,13
1576.3596027,13
1554.6925703,13
1530.2674144,13
1522.7933435,13
1511.3380126,13
1502.0341934,13
1482.6100635,13
1465.8004952,13
1457.4110076,13
1455.5214626,13
1451.7887254,13
1435.2142266,15
1409.2497682,16
1393.9449956,16
1382.0841488,17
1357.1795228,18
1355.3770218,19
1347.866497,19
1346.2466036,19
1339.6889334,19
1337.8225114,19
1303.8025829,20
1293.7095815,21
1287.0059584,21
1267.6308926,21
1265.3579199,27
1258.3665815,32
1218.7850162,34
1206.4777854,35
1175.3014576,36
1163.0265719,36
1158.2525523,36
1154.5982078,38
1153.9923116,39
1152.2530096,39
1152.2330937,39
1152.1965208,39
1150.3689214,39
1144.4466874,130
1139.6718133,132
1134.7364004,133
1134.6506381,134
1120.7359184,136
1119.2766278,136
1105.9635761,142
1090.5372,143
1086.2904881,148
1072.6540375,154
1058.1429049,154
1057.1962151,156
1056.5522352,176
1056.4749691,176
1054.9697841,176
1053.5022809,213
1051.5849845,249
1012.7567406,250
1012.7423769,251
1008.6382857,253
1002.7430946,254
990.6857533,255
990.2647382,259
982.5189526,261
981.805615,263
977.5540031,273
972.2501258,274
963.9545942,289
958.8916078,296
958.6517903,296
955.2250132,298
954.2769447,298
953.3819264,298
950.4827601,302
949.6867425,318
948.7267821,318
947.3114772,322
942.8670866,326
942.2235176,326
941.5989857,326
938.7892825,326
938.3404307,567
937.4381649,568
937.0962898,569
936.6421288,571
931.0698447,571
929.7512092,678
927.1504775,679
926.0271353,680
920.1754194,680
920.0263756,683
919.1514045,1388
916.0840961,1388
915.731912,2287
914.8925887,2315
910.9807256,2315
910.7820094,3913
909.9103935,3920
909.4770968,3929
903.949621,3933
902.6753266,3952
900.9299109,3960
899.8704841,6016
884.5436061,6352
883.918605,6587
883.0755278,6587
882.4522124,6587
877.7432976,6696
873.9393969,6776
873.739779,6776
868.8251625,6776
866.8048822,7248
866.3405327,7248
866.3329778,7248
865.6352001,7248
864.5268631,7248
862.2980454,7248
861.3476937,7716
860.548476,7716
856.5299929,7829
852.5774653,8012
851.1321444,8012
850.54549,8012
847.8023877,8012
843.787292,8204
842.9148339,8204
841.50373,8204
838.2676467,8204
836.1768088,8204
835.5472359,12821
835.2264572,12821
835.2264569,12821
835.22645,18503
835.2264498,18503
835.2264469,18881
828.0590877,18881
827.9197767,18881
817.4526681,18881
814.5448951,22064
810.1488935,22064
810.0475997,26207
809.3822569,26209
809.2338354,26211
809.2338339,26927
809.2338304,26928
809.2338269,26928
809.2338223,27875
809.2138528,27878
807.6987494,27887
807.4264438,27890
807.3111143,30502
806.8542317,30529
805.5864205,31563
803.9882828,32530
801.7469931,34555
800.4331614,34555
799.9293639,34555
799.2031069,34563
798.3668746,34563
797.644144,35637
797.61896,35670
796.7792934,35704
794.8604157,41712
794.8467031,47748
791.2853364,47760
786.542822,50914
